epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2666.77,0.5118,0.35235,0.87283,0.96352,0.91449,0.97705,0.83543,0.58226,0.39958,0.87657,0.000297232,0.000297232,0.000297232
82,2707.93,0.49159,0.3446,0.87047,0.93447,0.95151,0.97851,0.83868,0.58746,0.39767,0.87755,0.000283085,0.000283085,0.000283085
83,2754.38,0.49534,0.34357,0.86103,0.96636,0.91584,0.98084,0.83973,0.58129,0.39319,0.88474,0.000268938,0.000268938,0.000268938
84,2800.56,0.49391,0.34588,0.86061,0.94492,0.93088,0.97938,0.84106,0.58678,0.40026,0.88086,0.000254791,0.000254791,0.000254791
85,2841.87,0.47871,0.3393,0.86113,0.93989,0.94952,0.98336,0.84056,0.57963,0.3827,0.87322,0.000240644,0.000240644,0.000240644
86,2879.14,0.48054,0.33397,0.86081,0.94966,0.95374,0.98484,0.84628,0.57203,0.39006,0.87749,0.000226497,0.000226497,0.000226497
87,2913.3,0.47611,0.33342,0.86041,0.94632,0.94728,0.98172,0.84815,0.56551,0.38295,0.87862,0.000212349,0.000212349,0.000212349
88,2951.77,0.47011,0.33354,0.86012,0.95519,0.93822,0.98363,0.84411,0.57658,0.37721,0.87727,0.000198202,0.000198202,0.000198202
89,2989.74,0.47759,0.32842,0.86772,0.9509,0.93967,0.98468,0.84977,0.56539,0.38942,0.87248,0.000184055,0.000184055,0.000184055
90,3026.5,0.46893,0.32505,0.85955,0.95319,0.95283,0.98535,0.85032,0.56131,0.37783,0.87138,0.000169908,0.000169908,0.000169908
91,3061.89,0.44971,0.30104,0.82311,0.95917,0.94063,0.9837,0.85112,0.57151,0.38633,0.87182,0.000155761,0.000155761,0.000155761
92,3100.93,0.4403,0.3028,0.83226,0.96392,0.93186,0.97994,0.85223,0.58215,0.39113,0.87077,0.000141614,0.000141614,0.000141614
93,3161.62,0.45064,0.29937,0.82669,0.95055,0.94738,0.98079,0.85301,0.56676,0.39581,0.86933,0.000127467,0.000127467,0.000127467
94,3200.53,0.42768,0.29525,0.8146,0.95802,0.92965,0.97999,0.85574,0.57067,0.39897,0.86721,0.00011332,0.00011332,0.00011332
95,3238.48,0.41764,0.28481,0.81738,0.93173,0.95154,0.98046,0.85546,0.5636,0.39001,0.86587,9.91726e-05,9.91726e-05,9.91726e-05
96,3275.47,0.41841,0.28824,0.82683,0.95429,0.94118,0.98268,0.85374,0.56269,0.38264,0.86702,8.50255e-05,8.50255e-05,8.50255e-05
97,3312.51,0.42293,0.29161,0.82048,0.96347,0.92594,0.98386,0.85974,0.55286,0.3715,0.86477,7.08784e-05,7.08784e-05,7.08784e-05
98,3368.83,0.42179,0.28253,0.81106,0.96476,0.93758,0.98429,0.86043,0.5529,0.36827,0.86492,5.67313e-05,5.67313e-05,5.67313e-05
99,3411.05,0.41451,0.27687,0.81771,0.95755,0.94344,0.98393,0.86067,0.55157,0.36429,0.86303,4.25842e-05,4.25842e-05,4.25842e-05
100,3447.32,0.41307,0.273,0.83114,0.95681,0.9454,0.9839,0.86288,0.54682,0.36488,0.86211,2.84371e-05,2.84371e-05,2.84371e-05
